record_id,state,sleep_stage,recording_duration_seconds,sampling_rate_hz,n_eeg_channels,file_name,dataset_version,notes
S0001,wake+sleep,mixed,81660,100,2,S0001-PSG.edf,1.0,synthetic (Sleep-EDF oscillator resynthesis); whole-night PSG; paired hypnogram S0001-Hypnogram.edf
S0013,wake+sleep,mixed,84060,100,2,S0013-PSG.edf,1.0,synthetic (Sleep-EDF oscillator resynthesis); whole-night PSG; paired hypnogram S0013-Hypnogram.edf
S0014,wake+sleep,mixed,84120,100,2,S0014-PSG.edf,1.0,synthetic (Sleep-EDF oscillator resynthesis); whole-night PSG; paired hypnogram S0014-Hypnogram.edf
S0015,wake+sleep,mixed,84120,100,2,S0015-PSG.edf,1.0,synthetic (Sleep-EDF oscillator resynthesis); whole-night PSG; paired hypnogram S0015-Hypnogram.edf
S0016,wake+sleep,mixed,84600,100,2,S0016-PSG.edf,1.0,synthetic (Sleep-EDF oscillator resynthesis); whole-night PSG; paired hypnogram S0016-Hypnogram.edf
S0017,wake+sleep,mixed,79500,100,2,S0017-PSG.edf,1.0,synthetic (Sleep-EDF oscillator resynthesis); whole-night PSG; paired hypnogram S0017-Hypnogram.edf
S0018,wake+sleep,mixed,77100,100,2,S0018-PSG.edf,1.0,synthetic (Sleep-EDF oscillator resynthesis); whole-night PSG; paired hypnogram S0018-Hypnogram.edf
S0019,wake+sleep,mixed,79500,100,2,S0019-PSG.edf,1.0,synthetic (Sleep-EDF oscillator resynthesis); whole-night PSG; paired hypnogram S0019-Hypnogram.edf
S0020,wake+sleep,mixed,77100,100,2,S0020-PSG.edf,1.0,synthetic (Sleep-EDF oscillator resynthesis); whole-night PSG; paired hypnogram S0020-Hypnogram.edf
S0021,wake+sleep,mixed,84060,100,2,S0021-PSG.edf,1.0,synthetic (Sleep-EDF oscillator resynthesis); whole-night PSG; paired hypnogram S0021-Hypnogram.edf
S0022,wake+sleep,mixed,79500,100,2,S0022-PSG.edf,1.0,synthetic (Sleep-EDF oscillator resynthesis); whole-night PSG; paired hypnogram S0022-Hypnogram.edf
S0023,wake+sleep,mixed,83100,100,2,S0023-PSG.edf,1.0,synthetic (Sleep-EDF oscillator resynthesis); whole-night PSG; paired hypnogram S0023-Hypnogram.edf
S0024,wake+sleep,mixed,84120,100,2,S0024-PSG.edf,1.0,synthetic (Sleep-EDF oscillator resynthesis); whole-night PSG; paired hypnogram S0024-Hypnogram.edf
S0025,wake+sleep,mixed,84600,100,2,S0025-PSG.edf,1.0,synthetic (Sleep-EDF oscillator resynthesis); whole-night PSG; paired hypnogram S0025-Hypnogram.edf
S0026,wake+sleep,mixed,84300,100,2,S0026-PSG.edf,1.0,synthetic (Sleep-EDF oscillator resynthesis); whole-night PSG; paired hypnogram S0026-Hypnogram.edf
S0027,wake+sleep,mixed,79500,100,2,S0027-PSG.edf,1.0,synthetic (Sleep-EDF oscillator resynthesis); whole-night PSG; paired hypnogram S0027-Hypnogram.edf
S0028,wake+sleep,mixed,84060,100,2,S0028-PSG.edf,1.0,synthetic (Sleep-EDF oscillator resynthesis); whole-night PSG; paired hypnogram S0028-Hypnogram.edf
S0029,wake+sleep,mixed,81660,100,2,S0029-PSG.edf,1.0,synthetic (Sleep-EDF oscillator resynthesis); whole-night PSG; paired hypnogram S0029-Hypnogram.edf
S0030,wake+sleep,mixed,83100,100,2,S0030-PSG.edf,1.0,synthetic (Sleep-EDF oscillator resynthesis); whole-night PSG; paired hypnogram S0030-Hypnogram.edf
S0031,wake+sleep,mixed,81660,100,2,S0031-PSG.edf,1.0,synthetic (Sleep-EDF oscillator resynthesis); whole-night PSG; paired hypnogram S0031-Hypnogram.edf
S0032,wake+sleep,mixed,84060,100,2,S0032-PSG.edf,1.0,synthetic (Sleep-EDF oscillator resynthesis); whole-night PSG; paired hypnogram S0032-Hypnogram.edf
S0033,wake+sleep,mixed,84600,100,2,S0033-PSG.edf,1.0,synthetic (Sleep-EDF oscillator resynthesis); whole-night PSG; paired hypnogram S0033-Hypnogram.edf
S0034,wake+sleep,mixed,79500,100,2,S0034-PSG.edf,1.0,synthetic (Sleep-EDF oscillator resynthesis); whole-night PSG; paired hypnogram S0034-Hypnogram.edf
S0035,wake+sleep,mixed,84060,100,2,S0035-PSG.edf,1.0,synthetic (Sleep-EDF oscillator resynthesis); whole-night PSG; paired hypnogram S0035-Hypnogram.edf
S0036,wake+sleep,mixed,79500,100,2,S0036-PSG.edf,1.0,synthetic (Sleep-EDF oscillator resynthesis); whole-night PSG; paired hypnogram S0036-Hypnogram.edf
S0037,wake+sleep,mixed,79500,100,2,S0037-PSG.edf,1.0,synthetic (Sleep-EDF oscillator resynthesis); whole-night PSG; paired hypnogram S0037-Hypnogram.edf
S0038,wake+sleep,mixed,77100,100,2,S0038-PSG.edf,1.0,synthetic (Sleep-EDF oscillator resynthesis); whole-night PSG; paired hypnogram S0038-Hypnogram.edf
S0039,wake+sleep,mixed,84600,100,2,S0039-PSG.edf,1.0,synthetic (Sleep-EDF oscillator resynthesis); whole-night PSG; paired hypnogram S0039-Hypnogram.edf
S0040,wake+sleep,mixed,84120,100,2,S0040-PSG.edf,1.0,synthetic (Sleep-EDF oscillator resynthesis); whole-night PSG; paired hypnogram S0040-Hypnogram.edf
S0041,wake+sleep,mixed,84060,100,2,S0041-PSG.edf,1.0,synthetic (Sleep-EDF oscillator resynthesis); whole-night PSG; paired hypnogram S0041-Hypnogram.edf
S0042,wake+sleep,mixed,84060,100,2,S0042-PSG.edf,1.0,synthetic (Sleep-EDF oscillator resynthesis); whole-night PSG; paired hypnogram S0042-Hypnogram.edf
S0043,wake+sleep,mixed,83100,100,2,S0043-PSG.edf,1.0,synthetic (Sleep-EDF oscillator resynthesis); whole-night PSG; paired hypnogram S0043-Hypnogram.edf
S0044,wake+sleep,mixed,79500,100,2,S0044-PSG.edf,1.0,synthetic (Sleep-EDF oscillator resynthesis); whole-night PSG; paired hypnogram S0044-Hypnogram.edf
S0045,wake+sleep,mixed,77100,100,2,S0045-PSG.edf,1.0,synthetic (Sleep-EDF oscillator resynthesis); whole-night PSG; paired hypnogram S0045-Hypnogram.edf
