record_id,expected_file,role,license,canonical_archive,status
S0011,public_data/S0011-PSG.edf,EEG/PSG recording (synthetic),CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0011,public_data/S0011-Hypnogram.edf,EDF+ sleep-stage hypnogram,CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0012,public_data/S0012-PSG.edf,EEG/PSG recording (synthetic),CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0012,public_data/S0012-Hypnogram.edf,EDF+ sleep-stage hypnogram,CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0013,public_data/S0013-PSG.edf,EEG/PSG recording (synthetic),CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0013,public_data/S0013-Hypnogram.edf,EDF+ sleep-stage hypnogram,CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0014,public_data/S0014-PSG.edf,EEG/PSG recording (synthetic),CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0014,public_data/S0014-Hypnogram.edf,EDF+ sleep-stage hypnogram,CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0015,public_data/S0015-PSG.edf,EEG/PSG recording (synthetic),CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0015,public_data/S0015-Hypnogram.edf,EDF+ sleep-stage hypnogram,CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0016,public_data/S0016-PSG.edf,EEG/PSG recording (synthetic),CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0016,public_data/S0016-Hypnogram.edf,EDF+ sleep-stage hypnogram,CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0017,public_data/S0017-PSG.edf,EEG/PSG recording (synthetic),CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0017,public_data/S0017-Hypnogram.edf,EDF+ sleep-stage hypnogram,CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0018,public_data/S0018-PSG.edf,EEG/PSG recording (synthetic),CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0018,public_data/S0018-Hypnogram.edf,EDF+ sleep-stage hypnogram,CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0019,public_data/S0019-PSG.edf,EEG/PSG recording (synthetic),CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0019,public_data/S0019-Hypnogram.edf,EDF+ sleep-stage hypnogram,CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0020,public_data/S0020-PSG.edf,EEG/PSG recording (synthetic),CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0020,public_data/S0020-Hypnogram.edf,EDF+ sleep-stage hypnogram,CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0021,public_data/S0021-PSG.edf,EEG/PSG recording (synthetic),CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0021,public_data/S0021-Hypnogram.edf,EDF+ sleep-stage hypnogram,CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0022,public_data/S0022-PSG.edf,EEG/PSG recording (synthetic),CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0022,public_data/S0022-Hypnogram.edf,EDF+ sleep-stage hypnogram,CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0023,public_data/S0023-PSG.edf,EEG/PSG recording (synthetic),CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0023,public_data/S0023-Hypnogram.edf,EDF+ sleep-stage hypnogram,CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0024,public_data/S0024-PSG.edf,EEG/PSG recording (synthetic),CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0024,public_data/S0024-Hypnogram.edf,EDF+ sleep-stage hypnogram,CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0025,public_data/S0025-PSG.edf,EEG/PSG recording (synthetic),CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0025,public_data/S0025-Hypnogram.edf,EDF+ sleep-stage hypnogram,CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0026,public_data/S0026-PSG.edf,EEG/PSG recording (synthetic),CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0026,public_data/S0026-Hypnogram.edf,EDF+ sleep-stage hypnogram,CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0027,public_data/S0027-PSG.edf,EEG/PSG recording (synthetic),CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0027,public_data/S0027-Hypnogram.edf,EDF+ sleep-stage hypnogram,CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0028,public_data/S0028-PSG.edf,EEG/PSG recording (synthetic),CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0028,public_data/S0028-Hypnogram.edf,EDF+ sleep-stage hypnogram,CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0029,public_data/S0029-PSG.edf,EEG/PSG recording (synthetic),CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0029,public_data/S0029-Hypnogram.edf,EDF+ sleep-stage hypnogram,CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0030,public_data/S0030-PSG.edf,EEG/PSG recording (synthetic),CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0030,public_data/S0030-Hypnogram.edf,EDF+ sleep-stage hypnogram,CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0031,public_data/S0031-PSG.edf,EEG/PSG recording (synthetic),CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0031,public_data/S0031-Hypnogram.edf,EDF+ sleep-stage hypnogram,CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0032,public_data/S0032-PSG.edf,EEG/PSG recording (synthetic),CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0032,public_data/S0032-Hypnogram.edf,EDF+ sleep-stage hypnogram,CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0033,public_data/S0033-PSG.edf,EEG/PSG recording (synthetic),CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0033,public_data/S0033-Hypnogram.edf,EDF+ sleep-stage hypnogram,CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0034,public_data/S0034-PSG.edf,EEG/PSG recording (synthetic),CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0034,public_data/S0034-Hypnogram.edf,EDF+ sleep-stage hypnogram,CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0035,public_data/S0035-PSG.edf,EEG/PSG recording (synthetic),CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0035,public_data/S0035-Hypnogram.edf,EDF+ sleep-stage hypnogram,CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0036,public_data/S0036-PSG.edf,EEG/PSG recording (synthetic),CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0036,public_data/S0036-Hypnogram.edf,EDF+ sleep-stage hypnogram,CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0037,public_data/S0037-PSG.edf,EEG/PSG recording (synthetic),CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0037,public_data/S0037-Hypnogram.edf,EDF+ sleep-stage hypnogram,CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0038,public_data/S0038-PSG.edf,EEG/PSG recording (synthetic),CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0038,public_data/S0038-Hypnogram.edf,EDF+ sleep-stage hypnogram,CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0039,public_data/S0039-PSG.edf,EEG/PSG recording (synthetic),CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0039,public_data/S0039-Hypnogram.edf,EDF+ sleep-stage hypnogram,CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0040,public_data/S0040-PSG.edf,EEG/PSG recording (synthetic),CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0040,public_data/S0040-Hypnogram.edf,EDF+ sleep-stage hypnogram,CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0041,public_data/S0041-PSG.edf,EEG/PSG recording (synthetic),CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0041,public_data/S0041-Hypnogram.edf,EDF+ sleep-stage hypnogram,CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0042,public_data/S0042-PSG.edf,EEG/PSG recording (synthetic),CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0042,public_data/S0042-Hypnogram.edf,EDF+ sleep-stage hypnogram,CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0043,public_data/S0043-PSG.edf,EEG/PSG recording (synthetic),CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0043,public_data/S0043-Hypnogram.edf,EDF+ sleep-stage hypnogram,CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0044,public_data/S0044-PSG.edf,EEG/PSG recording (synthetic),CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0044,public_data/S0044-Hypnogram.edf,EDF+ sleep-stage hypnogram,CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0045,public_data/S0045-PSG.edf,EEG/PSG recording (synthetic),CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
S0045,public_data/S0045-Hypnogram.edf,EDF+ sleep-stage hypnogram,CC BY-NC 4.0,Zenodo DOI 10.5281/zenodo.22923070,INCLUDED
